result_set,workload,run,window,sample_count,bandwidth_mib_s_mean,iops_mean,clat_avg_us_mean,clat_avg_us_max,first_iops_mean,last_iops_mean,iops_last_over_first,first_clat_avg_us_mean,last_clat_avg_us_mean,clat_last_over_first
sustained_rand_read_120s_qd32_repeat3,rand_read,1,last_third,80,219.52197265625,56197.55,450.8054249999999,699.501,54649.225,56197.55,1.028332057773921,450.9460243902439,450.8054249999999,0.9996882123743432
sustained_rand_read_120s_qd32_repeat3,rand_read,1,middle,80,229.530615234375,58759.8,435.894125,456.49,54649.225,56197.55,1.028332057773921,450.9460243902439,450.8054249999999,0.9996882123743432
sustained_rand_read_120s_qd32_repeat3,rand_read,2,first_third,81,229.152734375,58662.875,436.386243902439,474.105,58662.875,53680.6,0.9150693688299456,436.386243902439,465.3447,1.0663596905314805
sustained_rand_read_120s_qd32_repeat3,rand_read,2,last_third,80,209.690087890625,53680.6,465.3447,749.86,58662.875,53680.6,0.9150693688299456,436.386243902439,465.3447,1.0663596905314805
sustained_rand_read_120s_qd32_repeat3,rand_read,2,middle,80,246.667822265625,63146.775,425.5696,457.324,58662.875,53680.6,0.9150693688299456,436.386243902439,465.3447,1.0663596905314805
sustained_rand_read_120s_qd32_repeat3,rand_read,3,first_third,81,256.7233154296875,65720.9,422.007487804878,437.321,65720.9,65395.525,0.995049139619208,422.007487804878,427.17404999999997,1.0122428211451804
sustained_rand_read_120s_qd32_repeat3,rand_read,3,last_third,80,255.4512939453125,65395.525,427.17404999999997,649.857,65720.9,65395.525,0.995049139619208,422.007487804878,427.17404999999997,1.0122428211451804
sustained_rand_read_120s_qd32_repeat3,rand_read,3,middle,80,255.4352294921875,65391.325,418.869875,438.598,65720.9,65395.525,0.995049139619208,422.007487804878,427.17404999999997,1.0122428211451804
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,1,first_third,81,141.9349853515625,36335.2,237.97824390243903,353.116,36335.2,32980.0,0.9076597899557455,237.97824390243903,255.89982500000005,1.0753076449497128
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,1,last_third,80,128.8280029296875,32980.0,255.89982500000005,417.046,36335.2,32980.0,0.9076597899557455,237.97824390243903,255.89982500000005,1.0753076449497128
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,1,middle,80,117.786328125,30153.2,283.82214999999997,440.267,36335.2,32980.0,0.9076597899557455,237.97824390243903,255.89982500000005,1.0753076449497128
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,2,first_third,81,115.628564453125,29600.9,307.7933902439024,663.117,29600.9,29177.3,0.9856896243019637,307.7933902439024,298.60922500000004,0.970161265527422
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,2,last_third,80,113.974267578125,29177.3,298.60922500000004,699.322,29600.9,29177.3,0.9856896243019637,307.7933902439024,298.60922500000004,0.970161265527422
