msec,sec,bandwidth_kib_s,iops,clat_avg_us,result_set,workload,run,source_file
29022.0,29.022,156052.0,39013.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
30000.0,30.0,,,204.62,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
30023.0,30.023,161834.0,40458.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
31000.0,31.0,,,193.205,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
31023.0,31.023,173568.0,43392.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
32000.0,32.0,,,190.763,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
32024.0,32.024,177102.0,44275.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
33000.0,33.0,,,203.934,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
33025.0,33.025,163152.0,40788.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
34000.0,34.0,,,205.068,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
34025.0,34.025,162906.0,40726.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
35000.0,35.0,,,197.519,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
35025.0,35.025,168792.0,42198.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
36000.0,36.0,,,201.158,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
36025.0,36.025,167440.0,41860.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
37000.0,37.0,,,239.422,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
37026.0,37.026,138876.0,34719.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
38000.0,38.0,,,233.233,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
38026.0,38.026,141312.0,35328.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
39000.0,39.0,,,240.031,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
39027.0,39.027,139844.0,34961.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
40000.0,40.0,,,218.292,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
40028.0,40.028,153626.0,38406.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
41000.0,41.0,,,214.0,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
41029.0,41.029,156143.0,39035.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
42000.0,42.0,,,191.163,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
42030.0,42.03,175200.0,43800.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
43000.0,43.0,,,200.421,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
43030.0,43.03,165812.0,41453.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
44000.0,44.0,,,213.481,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
44031.0,44.031,156644.0,39161.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
45000.0,45.0,,,231.006,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
45031.0,45.031,144768.0,36192.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
46000.0,46.0,,,238.93,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
46032.0,46.032,138752.0,34688.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
47000.0,47.0,,,234.736,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
47032.0,47.032,142448.0,35612.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
48000.0,48.0,,,225.925,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
48033.0,48.033,148420.0,37105.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
49000.0,49.0,,,192.116,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
49033.0,49.033,176572.0,44143.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
50000.0,50.0,,,198.462,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
50034.0,50.034,167428.0,41857.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
51000.0,51.0,,,198.92,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
51034.0,51.034,167756.0,41939.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
52000.0,52.0,,,219.277,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
52035.0,52.035,152040.0,38010.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
